corporate_identification_number,company_name,registered_state,date,rank
U45309DL2020PTC360992,ADHIKA BUILDERS AND SUPPLIERS PRIVATELIMITED,Delhi,2020-01-28,4
U74999DL2020PTC360972,SLEEPSMITH COMFORT SOLUTIONS PRIVATELIMITED,Delhi,2020-01-28,4
U74999DL2020PTC360979,WELLTRIX INTERNATIONAL PRIVATE LIMITED,Delhi,2020-01-28,4
U74999DL2020PTC360984,BIZZVITALS TECHNOLOGIES PRIVATE LIMITED,Delhi,2020-01-28,4
U74999DL2020PTC360987,ROCKWATER DECOR PRIVATE LIMITED,Delhi,2020-01-28,4
U51900DL2020PTC360952,MARL VENTURE PRIVATE LIMITED,Delhi,2020-01-28,4
U41000DL2020PTC360940,SERENE STREAM RESOURCES PRIVATE LIMITED,Delhi,2020-01-28,4
U45100DL2020PTC360995,CORE CONSTRUCTION INDIA PRIVATE LIMITED,Delhi,2020-01-28,4
U15490DL2020OPC360951,RASHUDO HOSORG (OPC) PRIVATE LIMITED,Delhi,2020-01-28,4
U63032DL2020OPC360974,MIDBAR TRAVELS (OPC) PRIVATE LIMITED,Delhi,2020-01-28,4
U63040DL2020PTC360851,VIVEK EMOBILITY PRIVATE LIMITED,Delhi,2020-01-27,5
U24304DL2020PTC360927,PURE RESIN PRODUCTS INDIA PRIVATELIMITED,Delhi,2020-01-27,5
U85300DL2020PTC360877,CARE 4 U PATH LABS PRIVATE LIMITED,Delhi,2020-01-27,5
U25190DL2020PTC360871,AABU PACKAGING INDIA PRIVATE LIMITED,Delhi,2020-01-27,5
U92419DL2020OPC360881,VEANSH (OPC) PRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020FTC360903,DANISCO NUTRITION AND BIOSCIENCES INDIAPRIVATE LIMITED,Delhi,2020-01-27,5
U92490DL2020PTC360890,CINE EVENTS AND ENTERTAINERS (TWO)PRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020OPC360855,ADDCONE ELEVATOR (OPC) PRIVATE LIMITED,Delhi,2020-01-27,5
U93000DL2020PTC360874,K.KUMAR FACILITIES PRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020OPC360857,LIFE GURU CONSULTANCY (OPC) PRIVATELIMITED,Delhi,2020-01-27,5
U52520DL2020PTC360924,JAGDISHWAR HARDWARE AND MACHINERY TOOLSPRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020OPC360895,TURNT DESIGN (OPC) PRIVATE LIMITED,Delhi,2020-01-27,5
U52609DL2020PTC360891,INTENT CLUE PRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360864,PROVERTEX MANAGEMENT PRIVATE LIMITED,Delhi,2020-01-27,5
U55101DL2020PTC360912,SHRIGO HOTELS PRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360873,BLISSNET TECHNOLOGIES PRIVATE LIMITED,Delhi,2020-01-27,5
U55209DL2020OPC360906,TAPRIYA CUISINE CATERERS (OPC) PRIVATELIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360880,BCI ENTERPRISES PRIVATE LIMITED,Delhi,2020-01-27,5
U80902DL2020PTC360876,LEARNABODE TECHNOLOGY PRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360889,METRO WORLD TECHNOLOGIES PRIVATE LIMITED,Delhi,2020-01-27,5
U80903DL2020PTC360930,HARGUN OVERSEAS STUDY AND TOURISMPRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360902,BRAND REAP SOLUTIONS PRIVATE LIMITED,Delhi,2020-01-27,5
U35999DL2020PTC360916,WINFLY AVIATION PRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360904,FRANBOUQUET PRIVATE LIMITED,Delhi,2020-01-27,5
U40106DL2020PTC360860,JUNIPER GREEN THREE PRIVATE LIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360911,ASMO TRADERS PRIVATE LIMITED,Delhi,2020-01-27,5
U40106DL2020PTC360879,SBE RENEWABLES TWENTY TWO C2 PRIVATELIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360923,GOLDHORN INDUSTRIES PRIVATE LIMITED,Delhi,2020-01-27,5
U40106DL2020PTC360882,SBE RENEWABLES TWENTY TWO C4 PRIVATELIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360926,MAD OVER KALAKARI PRIVATE LIMITED,Delhi,2020-01-27,5
U40106DL2020PTC360883,SBE RENEWABLES TWENTY TWO C3 PRIVATELIMITED,Delhi,2020-01-27,5
U74999DL2020PTC360929,SIMPLIFIED EDUTECH PRIVATE LIMITED,Delhi,2020-01-27,5
U40108DL2020PTC360878,SBE RENEWABLES TWENTY TWO C1 PRIVATELIMITED,Delhi,2020-01-27,5
U45201DL2020PTC360918,SEVENOS INFRATECH PRIVATE LIMITED,Delhi,2020-01-27,5
U40300DL2020PTC360894,PINAKI CLEAN ENERGY PRIVATE LIMITED,Delhi,2020-01-27,5
U93090DL2020PTC360856,DK ADVANCE CLINIC PRIVATE LIMITED,Delhi,2020-01-27,5
U17309DL2020PTC360925,SPS FINE INDUSTRIES PRIVATE LIMITED,Delhi,2020-01-27,5
U93090DL2020PTC360897,SANIYA WEDDINGS AND EVENTS PRIVATELIMITED,Delhi,2020-01-27,5
U18101DL2020PTC360866,BLACK LOVER PRIVATE LIMITED,Delhi,2020-01-27,5
U93090DL2020PTC360919,RABBLE ALLIED SERVICES PRIVATE LIMITED,Delhi,2020-01-27,5
U51909DL2020PTC360854,SWAMI J.S IMPEX PRIVATE LIMITED,Delhi,2020-01-27,5
U93090DL2020PTC360920,MENTOR SECURERS PRIVATE LIMITED,Delhi,2020-01-27,5
U51909DL2020PTC360870,GURLA TECHNOLOGY PRIVATE LIMITED,Delhi,2020-01-27,5
U15400DL2020PTC360861,SAMRASTA FOOD AND BEVERAGES PRIVATELIMITED,Delhi,2020-01-27,5
U51909DL2020PTC360872,ARSHIKA E-RETAIL INDIA PRIVATE LIMITED,Delhi,2020-01-27,5
U15490DL2020PTC360865,BR NUTS PRIVATE LIMITED,Delhi,2020-01-27,5
U51909DL2020PTC360887,PASONOMI PRIVATE LIMITED,Delhi,2020-01-27,5
U63030DL2020OPC360900,RUBAND LOGISTICS (OPC) PRIVATE LIMITED,Delhi,2020-01-27,5
U51909DL2020PTC360901,OTOP LIFECARE PRIVATE LIMITED,Delhi,2020-01-27,5
U63030DL2020PTC360859,ALLTIME LOGISTIC PRIVATE LIMITED,Delhi,2020-01-27,5
U51909DL2020PTC360915,GRALOT TRADEX PRIVATE LIMITED,Delhi,2020-01-27,5
U63030DL2020PTC360862,COSTSAVER TRAVELS PRIVATE LIMITED,Delhi,2020-01-27,5
U67100DL2020PTC360852,VINTAGE WEALTH ADVISORS PRIVATE LIMITED,Delhi,2020-01-27,5
U63030DL2020PTC360898,WALTEK LOGISTICS PRIVATE LIMITED,Delhi,2020-01-27,5
U74140DL2020PTC360909,DOCMASTER PRIVATE LIMITED,Delhi,2020-01-27,5
U01100DL2020PTC360885,ANCIENTA FOOD AND AGRO PRIVATE LIMITED,Delhi,2020-01-27,5
U74140DL2020PTC360917,SKYFANG INTERNATIONAL PRIVATE LIMITED,Delhi,2020-01-27,5
U70200DL2020PTC360886,GRALOT REALTECH PRIVATE LIMITED,Delhi,2020-01-27,5
U18202DL2020PTC360867,FOLKBELLA PRIVATE LIMITED,Delhi,2020-01-27,5
U70200DL2020PTC360914,WILSTA REALTECH PRIVATE LIMITED,Delhi,2020-01-27,5
U21090DL2020PTC360908,TOPPCARE HYGIENE PRIVATE LIMITED,Delhi,2020-01-27,5
U72100DL2020PTC360932,ATOZ AUTOMATION SOLUTIONS PRIVATELIMITED,Delhi,2020-01-27,5
U22219DL2020PTC360921,AARCHANA PRINTER PRIVATE LIMITED,Delhi,2020-01-27,5
U72200DL2020PTC360928,INDO MONEY INFOTECH PRIVATE LIMITED,Delhi,2020-01-27,5
U22300DL2020OPC360922,7T ARTSTATION (OPC) PRIVATE LIMITED,Delhi,2020-01-27,5
U29100DL2020PLC360931,BELLSTONE HITECH INTERNATIONAL LIMITED,Delhi,2020-01-27,5
U24100DL2020PTC360892,OCEAN CARE COSMETIC PRIVATE LIMITED,Delhi,2020-01-27,5
U70109DL2020PTC360858,VINCLEY ESTATES PRIVATE LIMITED,Delhi,2020-01-27,5
U65190DL2020PTC360905,CITRA FINANCIALS PRIVATE LIMITED,Delhi,2020-01-27,5
U70109DL2020PTC360863,TULOOK REALTECH PRIVATE LIMITED,Delhi,2020-01-27,5
U72900DL2020OPC360913,MADTRICKS PRODUCTIONS (OPC) PRIVATELIMITED,Delhi,2020-01-27,5
U70109DL2020PTC360899,FLAKE REALTECH PRIVATE LIMITED,Delhi,2020-01-27,5
U72900DL2020PTC360853,JOVO XPLORATION PRIVATE LIMITED,Delhi,2020-01-27,5
U70109DL2020PTC360910,JDSK LANDBASE PRIVATE LIMITED,Delhi,2020-01-27,5
U72900DL2020PTC360869,BABAINI SERVICES PRIVATE LIMITED,Delhi,2020-01-27,5
U31906DL2020PTC360868,YASTRA TECH PRIVATE LIMITED,Delhi,2020-01-27,5
U72900DL2020PTC360875,MIEUX TECHNOLOGIES PRIVATE LIMITED,Delhi,2020-01-27,5
U31909DL2020PTC360907,ELECTROSEMI TECH INDIA PRIVATE LIMITED,Delhi,2020-01-27,5
U72900DL2020PTC360884,ADVITIYA DIGITAL SOLUTIONS PRIVATELIMITED,Delhi,2020-01-27,5
U72900DL2020PTC360888,LEISHEN TECHNOLOGY PRIVATE LIMITED,Delhi,2020-01-27,5
U72900DL2020PTC360896,OMNISERVE INFOSYSTEMS PRIVATE LIMITED,Delhi,2020-01-27,5
U74994DL2020PTC360893,SUMMER MANAGEMENT CONSULTANCY PRIVATELIMITED,Delhi,2020-01-27,5
U63030GA2020PTC014267,EYOKAR DREAMTRAVELLERS PRIVATE LIMITED,Goa,2020-01-31,1
U55209GA2020PTC014266,GOLDEN ENTERTAINMENT AND HOSPITALITYPRIVATE LIMITED,Goa,2020-01-31,1
U72900GA2020PTC014268,WHITECLOUD SOFTWARE PRIVATE LIMITED,Goa,2020-01-31,1
U70109GA2020PTC014264,SEHGAL REALTY AND HOSPITALITY PRIVATELIMITED,Goa,2020-01-30,2
U55100GA2020PTC014265,WHITEMOUNTAIN HOSPITALITIES PRIVATELIMITED,Goa,2020-01-30,2
U55209GA2020PTC014263,CASA AHAANA HOTELS AND HOSPITALITYPRIVATE LIMITED,Goa,2020-01-29,3
U74999GA2020PTC014262,FINE REVES PRIVATE LIMITED,Goa,2020-01-28,4
U15100GA2020PTC014260,EVA BLENDERS AND BOTTLERS PRIVATELIMITED,Goa,2020-01-28,4
U74994GA2020OPC014261,LINK PEOPLE HR SOLUTIONS (OPC) PRIVATELIMITED,Goa,2020-01-28,4
U85300GA2020PTC014258,FITBIRD PRIVATE LIMITED,Goa,2020-01-27,5
U55209GA2020PTC014259,RARE PEARL HOSPITALITIES PRIVATE LIMITED,Goa,2020-01-27,5
U24230GJ2020PTC112431,ACTIPRO HEALTHCARE PRIVATE LIMITED,Gujarat,2020-01-31,1
U21023GJ2020PTC112439,JKS PACKAGING INDIA PRIVATE LIMITED,Gujarat,2020-01-31,1
U24299GJ2020PTC112421,PARTHIV BIOSCIENCE PRIVATE LIMITED,Gujarat,2020-01-31,1
U64200GJ2020PTC112438,SIAZ BROADBAND PRIVATE LIMITED,Gujarat,2020-01-31,1
U28999GJ2020PTC112445,WELDTECH INDUSTRIES PRIVATE LIMITED,Gujarat,2020-01-31,1
U45309GJ2020PTC112415,SHK STRUCTURES PRIVATE LIMITED,Gujarat,2020-01-31,1
U29100GJ2020PTC112416,AVIRAT STEEL PRIVATE LIMITED,Gujarat,2020-01-31,1
U45400GJ2020PTC112420,ACIER BETON INFRA PRIVATE LIMITED,Gujarat,2020-01-31,1
U29309GJ2020PTC112413,AMANCIO EXPLOSION PROOF EQUIPMENTPRIVATE LIMITED,Gujarat,2020-01-31,1
U72900GJ2020PTC112418,REVEATION LABS PRIVATE LIMITED,Gujarat,2020-01-31,1
U31900GJ2020PTC112412,HITECH CONTROLS PRIVATE LIMITED,Gujarat,2020-01-31,1
U72900GJ2020PTC112450,RAMPRASAD MEENA TECHNOLOGIES PRIVATELIMITED,Gujarat,2020-01-31,1
U24304GJ2020PTC112440,VKCOSMO SOLUTIONS INDIA PRIVATE LIMITED,Gujarat,2020-01-31,1
U45500GJ2020PTC112441,SAMUH INFRACON PRIVATE LIMITED,Gujarat,2020-01-31,1
U24304GJ2020PTC112449,ENDOC BIOTECH PRIVATE LIMITED,Gujarat,2020-01-31,1
U74930GJ2020PTC112442,SHREE PASHVA ENGINEERS PRIVATE LIMITED,Gujarat,2020-01-31,1
U25209GJ2020PTC112426,HANUMANT EXPORT INDUSTRIES PRIVATELIMITED,Gujarat,2020-01-31,1
U25209GJ2020PTC112427,CHETANYA PLASTOPACK INDUSTRIES PRIVATELIMITED,Gujarat,2020-01-31,1
U25209GJ2020PTC112428,ADEX POLYBLEND PRIVATE LIMITED,Gujarat,2020-01-31,1
U74999GJ2020FTC112422,COUNTHQ ACCOUNTING AND TAXATION SERVICESPRIVATE LIMITED,Gujarat,2020-01-31,1
U74999GJ2020PTC112417,TORICCA COSMETICS PRIVATE LIMITED,Gujarat,2020-01-31,1
U74999GJ2020PTC112429,ROVATS PRIVATE LIMITED,Gujarat,2020-01-31,1
U74999GJ2020PTC112432,CHAROTAR INDIA WELLNESS PRIVATE LIMITED,Gujarat,2020-01-31,1
U74999GJ2020PTC112433,ALLOY ABRASIVES INDIA PRIVATE LIMITED,Gujarat,2020-01-31,1
U51395GJ2020PTC112424,FONE KING (COMMUNICATION) PRIVATELIMITED,Gujarat,2020-01-31,1
U67200GJ2020PTC112414,MOZZPAY PAYMENT SOLUTIONS PRIVATELIMITED,Gujarat,2020-01-31,1
U15100GJ2020PLC112444,VADILAL DELIGHTS LIMITED,Gujarat,2020-01-31,1
U63030GJ2020PTC112419,PRAMUKH 3PL SERVICES PRIVATE LIMITED,Gujarat,2020-01-31,1
U63030GJ2020PTC112448,BLUE PLANET DESTINATION PRIVATE LIMITED,Gujarat,2020-01-31,1
U85300GJ2020NPL112435,DIAMOND INDUSTRY CAREER FOUNDATION,Gujarat,2020-01-31,1
U90009GJ2020PTC112411,RAVI ENVIRO INDUSTRIES PRIVATE LIMITED,Gujarat,2020-01-31,1
U80902GJ2020OPC112410,MAHEER OVERSEAS EDUCATION (OPC) PRIVATELIMITED,Gujarat,2020-01-31,1
U80902GJ2020PTC112443,INTSTU ASPIRATIONS PRIVATE LIMITED,Gujarat,2020-01-31,1
U80903GJ2020PTC112436,CEREBROZ EDUTREE TECHNOLOGY PRIVATELIMITED,Gujarat,2020-01-31,1
U85100GJ2020PTC112447,ALBIZZIA HEALTHCARE PRIVATE LIMITED,Gujarat,2020-01-31,1
U40300GJ2020PTC112434,SAKSHI-SHREEYASHI RENEWABLE ENERGYPRIVATE LIMITED,Gujarat,2020-01-31,1
U17299GJ2020PTC112425,FABRICSHIP PRIVATE LIMITED,Gujarat,2020-01-31,1
U51909GJ2020PTC112423,RG MERCANTILE INDIA PRIVATE LIMITED,Gujarat,2020-01-31,1
U51909GJ2020PTC112437,SKYHEYINZ PRIVATE LIMITED,Gujarat,2020-01-31,1
U74140GJ2020PTC112446,CHAVDA ASSOCIATES PRIVATE LIMITED,Gujarat,2020-01-31,1
U65990GJ2020PTC112409,SONIX CORPORATE ADVISER PRIVATE LIMITED,Gujarat,2020-01-30,2
U24117GJ2020PTC112393,GUJARAT CHROMIUM CHEMICALS PRIVATELIMITED,Gujarat,2020-01-30,2
U72502GJ2020PTC112406,RD INFOCOM PRIVATE LIMITED,Gujarat,2020-01-30,2
U72200GJ2020PTC112396,WORKSOL SERVICES PRIVATE LIMITED,Gujarat,2020-01-30,2
U72900GJ2020OPC112408,HEDWEEG INNOVATIONS (OPC) PRIVATELIMITED,Gujarat,2020-01-30,2
U31909GJ2020PTC112394,EMBIKA TRANSFORMERS PRIVATE LIMITED,Gujarat,2020-01-30,2
U72900GJ2020PTC112399,SHDESK SOLUTIONS PRIVATE LIMITED,Gujarat,2020-01-30,2
U31909GJ2020PTC112400,RECTAGON KINETICS PRIVATE LIMITED,Gujarat,2020-01-30,2
U26999GJ2020PTC112405,LORENZO GRANITO PRIVATE LIMITED,Gujarat,2020-01-30,2
U74999GJ2020PTC112398,OXTRO EXPO MANAGEMENT PRIVATE LIMITED,Gujarat,2020-01-30,2
U74999GJ2020PTC112401,APEDZII CONSULTING PRIVATE LIMITED,Gujarat,2020-01-30,2
U74999GJ2020PTC112404,WHITE-MAPPING GLOBAL PRIVATE LIMITED,Gujarat,2020-01-30,2
U15400GJ2020PTC112395,THREENEEDS SUPPLIERS PRIVATE LIMITED,Gujarat,2020-01-30,2
U85300GJ2020NPL112397,FOUNDATION FOR CATALYSING RURALTRANSFORMATION,Gujarat,2020-01-30,2
U51909GJ2020PTC112391,RAMRUT CHEMICALS PRIVATE LIMITED,Gujarat,2020-01-30,2
U51909GJ2020PTC112392,ANANTA SECURITY SOLUTIONS PRIVATELIMITED,Gujarat,2020-01-30,2
U51909GJ2020PTC112402,SHYAM LAL GOYAL FABRICS PRIVATE LIMITED,Gujarat,2020-01-30,2
U67100GJ2020PTC112407,PIPS CAPITALS PRIVATE LIMITED,Gujarat,2020-01-30,2
U73100GJ2020PTC112403,HAVI TECHNOLOGIES PRIVATE LIMITED,Gujarat,2020-01-30,2
U21098GJ2020PTC112389,KALYANI CRAFT PAPER MILLS PRIVATELIMITED,Gujarat,2020-01-29,3
U24110GJ2020PTC112370,FARMSON BASIC DRUGS PRIVATE LIMITED,Gujarat,2020-01-29,3
U24100GJ2020PTC112368,VITAEGISS WELLNESS PRIVATE LIMITED,Gujarat,2020-01-29,3
U72200GJ2020PTC112385,LAZYBEARS TECH PRIVATE LIMITED,Gujarat,2020-01-29,3
U65929GJ2020PTC112386,K.K. FINITY PRIVATE LIMITED,Gujarat,2020-01-29,3
U28110GJ2020PTC112380,PRITAM BULLION PRIVATE LIMITED,Gujarat,2020-01-29,3
U65990GJ2020PTC112378,VISHVESHWARA FINANCIAL SERVICES PRIVATELIMITED,Gujarat,2020-01-29,3
U29190GJ2020PTC112383,DEVDIGITAL ELECTRONICS PRIVATE LIMITED,Gujarat,2020-01-29,3
U72900GJ2020PTC112372,INFO STANS PRIVATE LIMITED,Gujarat,2020-01-29,3
U24304GJ2020PTC112379,STANFORD BIOCHEMICAL PRIVATE LIMITED,Gujarat,2020-01-29,3
U72900GJ2020PTC112390,SUVACH TECHNOLOGIES PRIVATE LIMITED,Gujarat,2020-01-29,3
U25209GJ2020PTC112367,GREENPRO VENTURES PRIVATE LIMITED,Gujarat,2020-01-29,3
U45500GJ2020PTC112387,KIKANI BUILDCON PRIVATE LIMITED,Gujarat,2020-01-29,3
U74999GJ2020PTC112361,AARKEY TECH TEX PRIVATE LIMITED,Gujarat,2020-01-29,3
U74999GJ2020PTC112375,MULTIQO FINTECH PRIVATE LIMITED,Gujarat,2020-01-29,3
U74999GJ2020PTC112376,PEGASUS AUTOMATION PRIVATE LIMITED,Gujarat,2020-01-29,3
U74999GJ2020PTC112382,SAHKAR CONSULTANTS PRIVATE LIMITED,Gujarat,2020-01-29,3
U67190GJ2020PTC112363,VITHLAPARA FINANCIAL SERVICES PRIVATELIMITED,Gujarat,2020-01-29,3
U93090GJ2020PTC112364,DREAM2REALITY IMMIGRATION PRIVATELIMITED,Gujarat,2020-01-29,3
U15100GJ2020PTC112366,PUREFACT PRIVATE LIMITED,Gujarat,2020-01-29,3
U15400GJ2020PTC112360,SWALIKA INTERNATIONAL PRIVATE LIMITED,Gujarat,2020-01-29,3
U63031GJ2020PTC112369,TM ENTERTAINMENT PRIVATE LIMITED,Gujarat,2020-01-29,3
U85300GJ2020NPL112377,KRUPANSHI FOUNDATION,Gujarat,2020-01-29,3
U93000GJ2020PTC112388,FUENTE PHARMA PRIVATE LIMITED,Gujarat,2020-01-29,3
U33208GJ2020PTC112373,KRISTAL AND KLAR EYEWEAR PRIVATE LIMITED,Gujarat,2020-01-29,3
U34100GJ2020PTC112365,TPH COVERS PRIVATE LIMITED,Gujarat,2020-01-29,3
U40106GJ2020PTC112384,TRONA ENERGY SOLUTIONS PRIVATE LIMITED,Gujarat,2020-01-29,3
U17122GJ2020PTC112362,SALASAR KNITTING PRIVATE LIMITED,Gujarat,2020-01-29,3
U51909GJ2020PTC112371,SURGIMADE ORTHO PRIVATE LIMITED,Gujarat,2020-01-29,3
U51909GJ2020PTC112381,MR.MD VEGETABLE MART PRIVATE LIMITED,Gujarat,2020-01-29,3
U24100GJ2020PTC112344,MOKSH TARPAULINS INDIA PRIVATE LIMITED,Gujarat,2020-01-28,4
U01100GJ2020PTC112337,LDFARM PRIVATE LIMITED,Gujarat,2020-01-28,4
U72500GJ2020PTC112359,GLOPBE PRIVATE LIMITED,Gujarat,2020-01-28,4
U24239GJ2020PTC112358,TIVAN SCIENCES PRIVATE LIMITED,Gujarat,2020-01-28,4
U72501GJ2020PTC112336,A.I. INNOVATION LABS PRIVATE LIMITED,Gujarat,2020-01-28,4
U70109GJ2020PTC112347,JB BUILDCON PRIVATE LIMITED,Gujarat,2020-01-28,4
U74920GJ2020PTC112333,SHIVAM INDUSTRIAL SECURITY PRIVATELIMITED,Gujarat,2020-01-28,4
U70109GJ2020PTC112352,HUBERT ESTATE CONSULTANTS PRIVATELIMITED,Gujarat,2020-01-28,4
U31909GJ2020PTC112350,ATUL GREENTECH PRIVATE LIMITED,Gujarat,2020-01-28,4
U31909GJ2020PTC112356,ODHAV ENTERPRISE PRIVATE LIMITED,Gujarat,2020-01-28,4
U74999GJ2020PTC112348,V.K. MANPOWER SERVICES PRIVATE LIMITED,Gujarat,2020-01-28,4
U74999GJ2020PTC112349,SEEMA & SONS MANAGEMENT PRIVATE LIMITED,Gujarat,2020-01-28,4
U74999GJ2020PTC112355,KEGO OVERSEAS PRIVATE LIMITED,Gujarat,2020-01-28,4
U74999GJ2020PTC112357,MEDICLUE SURGICAL AND DISPOSABLE PRIVATELIMITED,Gujarat,2020-01-28,4
U93090GJ2020PTC112339,COLLOSUS VENTURES PRIVATE LIMITED,Gujarat,2020-01-28,4
U15209GJ2020PTC112334,JJ AGRO EXIM PRIVATE LIMITED,Gujarat,2020-01-28,4
U63000GJ2020PTC112351,WHITISHWING INTERNATIONAL PRIVATELIMITED,Gujarat,2020-01-28,4
U63090GJ2020PTC112343,PARYATANAM BHARATI PRIVATE LIMITED,Gujarat,2020-01-28,4
U85300GJ2020NPL112354,SHREE LALIT NAGAR ROW HOUSES ASSOCIATION,Gujarat,2020-01-28,4
U93000GJ2020PTC112335,GARV ORGANISATION PRIVATE LIMITED,Gujarat,2020-01-28,4
U80904GJ2020PTC112345,GURJAR EDUCATION PRIVATE LIMITED,Gujarat,2020-01-28,4
U33208GJ2020PTC112340,ACUMEN MEDICAL DEVICE PRIVATE LIMITED,Gujarat,2020-01-28,4
U40106GJ2020PTC112338,PR ECOENERGY MP PRIVATE LIMITED,Gujarat,2020-01-28,4
U74900GJ2020PTC112341,VISHRUTI HYGIENE PRIVATE LIMITED,Gujarat,2020-01-28,4
U17299GJ2020PTC112342,VRAJ TEXO FAB PRIVATE LIMITED,Gujarat,2020-01-28,4
U17299GJ2020PTC112353,TAVISSH POLYWEAVES PRIVATE LIMITED,Gujarat,2020-01-28,4
U67110GJ2020PTC112332,VARDA INVESTMENT SERVICES PRIVATELIMITED,Gujarat,2020-01-28,4
U73100GJ2020PTC112346,GIOSTAR HEALTHCARE PRIVATE LIMITED,Gujarat,2020-01-28,4
U24100GJ2020PTC112300,SHREE AMBICA SULPHATE PRIVATE LIMITED,Gujarat,2020-01-27,5
U01100GJ2020PTC112324,FK AGRO EXPORTS PRIVATE LIMITED,Gujarat,2020-01-27,5
U52190GJ2020PTC112299,PROTEA RETAILS PRIVATE LIMITED,Gujarat,2020-01-27,5
U01100GJ2020PTC112325,AGROTECH THREE CHAIN PRIVATE LIMITED,Gujarat,2020-01-27,5
U45309GJ2020PTC112309,PRAJAPAT BUILDERS PRIVATE LIMITED,Gujarat,2020-01-27,5
U01110GJ2020PTC112327,KUMBHIK AGRO CARE PRIVATE LIMITED,Gujarat,2020-01-27,5
U72900GJ2020PTC112301,REALTYX MARTECH PRIVATE LIMITED,Gujarat,2020-01-27,5
U28999GJ2020PTC112317,JK SONS PRECIOUS METALS LIMITED,Gujarat,2020-01-27,5
U72900GJ2020PTC112303,TECBLIC PRIVATE LIMITED,Gujarat,2020-01-27,5
U29300GJ2020PTC112305,KP WATER TREATMENT PRIVATE LIMITED,Gujarat,2020-01-27,5
U72900GJ2020PTC112329,TRECURE PRIVATE LIMITED,Gujarat,2020-01-27,5
U29309GJ2020PTC112320,CND GREEN PRIVATE LIMITED,Gujarat,2020-01-27,5
U50100GJ2020PTC112331,EQUITY LNT AUTOHUB PRIVATE LIMITED,Gujarat,2020-01-27,5
U27100GJ2020PTC112323,STEELCHEM PIPES AND FITTINGS PRIVATELIMITED,Gujarat,2020-01-27,5
U74999GJ2020PTC112302,TEKTTARGET SYSTEMS INDIA PRIVATE LIMITED,Gujarat,2020-01-27,5
U74999GJ2020PTC112308,PROFECTUS INFOTECH PRIVATE LIMITED,Gujarat,2020-01-27,5
U74999GJ2020PTC112310,KAY-O FACILITIES PRIVATE LIMITED,Gujarat,2020-01-27,5
U74999GJ2020PTC112311,PROFITWORLD CONSULTANCY SERVICES PRIVATELIMITED,Gujarat,2020-01-27,5
U74999GJ2020PTC112314,ATWAL MECH CONSTRUCTIONS PRIVATE LIMITED,Gujarat,2020-01-27,5
U74999GJ2020PTC112318,REDIANT HR MANAGEMENT PRIVATE LIMITED,Gujarat,2020-01-27,5
U74999GJ2020PTC112319,FORTUMAX WORK SOLUTIONS PRIVATE LIMITED,Gujarat,2020-01-27,5
U74999GJ2020PTC112326,SHARBAT CONSULTANCY PRIVATE LIMITED,Gujarat,2020-01-27,5
U93090GJ2020FTC112306,INNOVATE TAX PRIVATE LIMITED,Gujarat,2020-01-27,5
U15490GJ2020PTC112312,FLAVAROMA INDIA PRIVATE LIMITED,Gujarat,2020-01-27,5
U63090GJ2020PTC112321,SHREE SAHJANAND BUS SERVICE PRIVATELIMITED,Gujarat,2020-01-27,5
U92490GJ2020PTC112322,PENTAQUARK GAMING PRIVATE LIMITED,Gujarat,2020-01-27,5
U52520GJ2020PTC112304,JOSHI & JOSHI IFOCUS INDIA PRIVATELIMITED,Gujarat,2020-01-27,5
U85100GJ2020NPL112330,SHREEJIESS FOUNDATION,Gujarat,2020-01-27,5
U35999GJ2020PTC112315,DELCYCLO GEARS & DRIVES PRIVATE LIMITED,Gujarat,2020-01-27,5
U36912GJ2020PTC112307,MAHAPRAGYA DIAMOND PRIVATE LIMITED,Gujarat,2020-01-27,5
U15549GJ2020PTC112316,NOBBYDAD CRISPIES PRIVATE LIMITED,Gujarat,2020-01-27,5
U17299GJ2020OPC112313,SARDHARA HOLDINGS (OPC) PRIVATE LIMITED,Gujarat,2020-01-27,5
U66030GJ2020PTC112328,PRIME LIFE CARE IMF PRIVATE LIMITED,Gujarat,2020-01-27,5
U01100HR2020PTC085106,PALWAS ORGANIC NATURAL HONEY FARMERSPRODUCER COMPANY LIMITED,Haryana,2020-01-31,1
U24230HR2020PTC085088,KC OVERSEAS PRIVATE LIMITED,Haryana,2020-01-31,1
U72200HR2020PTC085096,CJK THE STRATEGIC CFO SERVICES PRIVATELIMITED,Haryana,2020-01-31,1
U72200HR2020PTC085126,OB-INNOVATIONS PRIVATE LIMITED,Haryana,2020-01-31,1
